IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,1454,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,1454,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,1454,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,821,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,128,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,146,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,1238,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,4694,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,157,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,116,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,85,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,85,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,353,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,100.29.134.11,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61886,443,TCP,93,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
